num. sample,statistic,mean,variance,std dev,interval length
2,avgInterarrivals,6.054,0.050,0.223,0.000
2,avgWaits,3.140,0.005,0.070,0.000
2,avgNumNodes,0.001,0.000,0.001,0.000
2,avgDelays,0.185,0.005,0.073,0.000
2,avgNumQueues,0.000,0.000,0.000,0.000
4,avgInterarrivals,5.808,0.087,0.294,0.000
4,avgWaits,3.290,0.027,0.164,0.000
4,avgNumNodes,0.001,0.000,0.001,0.000
4,avgDelays,0.210,0.004,0.060,0.000
4,avgNumQueues,0.000,0.000,0.000,0.000
8,avgInterarrivals,5.797,0.090,0.300,0.000
8,avgWaits,3.373,0.055,0.234,0.000
8,avgNumNodes,0.001,0.000,0.000,0.000
8,avgDelays,0.222,0.008,0.090,0.000
8,avgNumQueues,0.000,0.000,0.000,0.000
16,avgInterarrivals,5.850,0.118,0.344,0.000
16,avgWaits,3.338,0.053,0.230,0.000
16,avgNumNodes,0.001,0.000,0.000,0.000
16,avgDelays,0.192,0.009,0.094,0.000
16,avgNumQueues,0.000,0.000,0.000,0.000
32,avgInterarrivals,5.854,0.144,0.380,0.000
32,avgWaits,3.283,0.076,0.276,0.000
32,avgNumNodes,0.001,0.000,0.000,0.000
32,avgDelays,0.212,0.018,0.134,0.000
32,avgNumQueues,0.000,0.000,0.000,0.000
64,avgInterarrivals,5.812,0.242,0.492,0.000
64,avgWaits,3.251,0.079,0.281,0.000
64,avgNumNodes,0.001,0.000,0.000,0.000
64,avgDelays,0.214,0.016,0.128,0.000
64,avgNumQueues,0.000,0.000,0.000,0.000
128,avgInterarrivals,5.892,0.219,0.468,0.000
128,avgWaits,3.244,0.100,0.317,0.000
128,avgNumNodes,0.001,0.000,0.000,0.000
128,avgDelays,0.222,0.016,0.127,0.000
128,avgNumQueues,0.000,0.000,0.000,0.000
